                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88541,                0.65689,                0.97792,                0.74287,                0.49166,                0.47238,                0.28383,                 1.2007,                0.79198,                 1.1069,             0.00037138,             0.00037138,             0.00037138
                     73,                0.89805,                0.64829,                0.97942,                0.73055,                0.45896,                0.46586,                0.28204,                 1.1968,                0.77923,                 1.1033,               0.000359,               0.000359,               0.000359
                     74,                0.89849,                0.64646,                0.98404,                0.73014,                0.47809,                0.46922,                0.27731,                 1.2071,                0.77863,                 1.1113,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.9366,                0.67591,                0.98718,                0.70411,                0.47262,                 0.4591,                0.27588,                 1.2175,                0.78664,                 1.1162,             0.00033425,             0.00033425,             0.00033425
                     76,                0.91761,                 0.6555,                0.98676,                0.65773,                0.49062,                 0.4635,                0.27759,                 1.1769,                 0.7911,                 1.0949,             0.00032188,             0.00032188,             0.00032188
                     77,                0.90334,                0.65355,                0.95334,                0.65626,                0.48134,                0.46108,                0.28084,                 1.1761,                0.77833,                 1.0892,              0.0003095,              0.0003095,              0.0003095
                     78,                0.89484,                0.64293,                0.97873,                0.84102,                0.41803,                0.48965,                0.29645,                 1.1826,                0.75371,                 1.0989,             0.00029713,             0.00029713,             0.00029713
                     79,                0.90149,                0.65448,                 0.9695,                0.89266,                0.40542,                0.48739,                0.29234,                 1.1872,                0.75056,                 1.1053,             0.00028475,             0.00028475,             0.00028475
                     80,                0.88342,                0.64699,                0.96681,                0.84439,                0.41526,                0.49552,                0.29616,                 1.1552,                0.75865,                 1.0898,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.8686,                 0.6236,                0.95441,                0.82511,                0.43786,                0.48005,                0.29453,                 1.1586,                  0.773,                 1.0928,                0.00026,                0.00026,                0.00026
                     82,                0.89149,                 0.6394,                0.97781,                0.76099,                0.47734,                0.48027,                0.28747,                 1.1634,                0.78363,                 1.0937,             0.00024762,             0.00024762,             0.00024762
                     83,                0.93943,                0.66265,                0.99178,                0.71891,                0.46951,                0.45847,                0.27599,                 1.1734,                0.80036,                 1.0961,             0.00023525,             0.00023525,             0.00023525
                     84,                0.89467,                0.63276,                 0.9669,                0.76677,                0.46803,                0.45974,                0.27167,                 1.1744,                0.79467,                 1.0923,             0.00022288,             0.00022288,             0.00022288
                     85,                0.89597,                0.63544,                 0.9749,                 0.7938,                0.49053,                 0.4723,                0.28432,                  1.175,                0.77443,                 1.0872,              0.0002105,              0.0002105,              0.0002105
                     86,                0.87932,                0.64304,                0.98304,                0.79601,                0.50048,                0.48768,                0.30041,                 1.1814,                0.76758,                 1.0842,             0.00019813,             0.00019813,             0.00019813
                     87,                0.92053,                0.64324,                0.98044,                0.80142,                0.49162,                0.47961,                0.29382,                 1.1633,                0.74666,                 1.0717,             0.00018575,             0.00018575,             0.00018575
                     88,                0.88862,                0.61454,                0.95611,                0.80256,                0.49529,                0.48055,                 0.2961,                 1.1561,                0.73821,                 1.0709,             0.00017338,             0.00017338,             0.00017338
                     89,                0.86984,                0.60146,                0.96748,                0.78705,                0.50547,                 0.4818,                0.29578,                 1.1611,                0.74103,                 1.0769,               0.000161,               0.000161,               0.000161
                     90,                0.88544,                0.63337,                0.96073,                0.77464,                0.51353,                0.49194,                0.30439,                 1.1607,                0.74735,                 1.0784,             0.00014862,             0.00014862,             0.00014862
                     91,                0.86582,                 0.6271,                0.95335,                0.74107,                0.52033,                0.49522,                0.30738,                 1.1657,                0.75849,                 1.0793,             0.00013625,             0.00013625,             0.00013625
                     92,                0.82587,                0.56522,                0.93411,                0.73483,                 0.5314,                0.49221,                 0.3091,                  1.161,                0.77177,                 1.0796,             0.00012387,             0.00012387,             0.00012387
                     93,                0.80356,                0.57772,                0.93398,                0.73481,                0.52331,                0.48348,                0.29969,                 1.1552,                0.77617,                 1.0784,              0.0001115,              0.0001115,              0.0001115
                     94,                0.85004,                0.59695,                0.95711,                0.81875,                0.47119,                0.49515,                0.30829,                 1.1488,                0.76609,                 1.0758,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.82106,                0.57054,                0.93823,                0.80577,                0.47682,                 0.4911,                0.30875,                 1.1432,                0.75873,                 1.0731,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.83508,                0.57007,                0.93074,                0.78657,                0.47788,                0.49423,                0.30978,                 1.1385,                0.76222,                 1.0696,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.82157,                0.57141,                0.94342,                 0.7733,                0.48146,                0.49925,                0.31354,                 1.1385,                0.76104,                 1.0686,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.8037,                0.55155,                0.93373,                0.77279,                 0.4971,                0.50348,                0.31537,                 1.1384,                0.76201,                 1.0705,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.80293,                0.55396,                0.94474,                0.77031,                0.49125,                0.49765,                0.31136,                 1.1406,                0.76334,                 1.0703,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.80203,                0.54028,                0.93099,                0.77946,                0.49233,                0.50249,                0.30799,                  1.144,                0.76397,                 1.0736,             2.4875e-05,             2.4875e-05,             2.4875e-05
